ZIP Code,City,Adresse d'arrivée,Distance Km
5555,"5555 Naomé, Belgique",BRUXELLES,"137,512"
8690,"8690 Oeren, Belgique",BRUXELLES,"138,08"
8660,"8660 Adinkerke, Belgique",BRUXELLES,"138,3"
4730,"4730 Hauset, Belgique",BRUXELLES,"138,49"
6686,"6686 Flamierge, Belgique",BRUXELLES,"139,5"
8972,"8972 Krombeke, Belgique",BRUXELLES,"139,846"
4900,"4900 SPA, Belgique",BRUXELLES,"139,93"
1930,"1930 Nossegem, Belgique",BRUXELLES,"14,399"
1831,"1831 Diegem, Belgique",BRUXELLES,"14,72"
1852,"1852 Beigem, Belgique",BRUXELLES,"14,89"
6851,"6851 Nollevaux, Belgique",BRUXELLES,"140,32"
8691,"8691 Izenberge, Belgique",BRUXELLES,"141,35"
8978,"8978 Watou, Belgique",BRUXELLES,"142,05"
4970,"4970 Francorchamps, Belgique",BRUXELLES,"143,27"
5550,"5550 Orchimont, Belgique",BRUXELLES,"143,963"
4990,"4990 Bra, Belgique",BRUXELLES,"144,54"
6692,"6692 Petit-Thier, Belgique",BRUXELLES,"144,89"
6834,"6834 Bellevaux, Belgique",BRUXELLES,"145,31"
6833,"6833 Vivy, Belgique",BRUXELLES,"145,95"
6687,"6687 BERTOGNE, Belgique",BRUXELLES,"146,18"
6960,"6960 Grandmenil, Belgique",BRUXELLES,"146,909"
6832,"6832 Sensenruth, Belgique",BRUXELLES,"147,02"
6831,"6831 Noirfontaine, Belgique",BRUXELLES,"147,26"
4983,"4983 Basse-Bodeux, Belgique",BRUXELLES,"147,28"
6698,"6698 Grand-Halleux, Belgique",BRUXELLES,"148,07"
6840,"6840 Tournay, Belgique",BRUXELLES,"148,76"
4980,"4980 Fosse, Belgique",BRUXELLES,"149,32"
6800,"6800 Remagne, Belgique",BRUXELLES,"149,405"
6880,"6880 Orgeo, Belgique",BRUXELLES,"149,957"
1785,"1785 Brussegem, Belgique",BRUXELLES,"15,07"
1640,"1640 RHODE-SAINT-GENÈSE, Belgique",BRUXELLES,"15,132"
1980,"1980 Eppegem, Belgique",BRUXELLES,"15,92"
6830,"6830 Rochehaut, Belgique",BRUXELLES,"151,25"
